originalTitle,movieId,title,genres,year
Confessions of a Dangerous Mind (2002),6003,Confessions of a Dangerous Mind,Comedy|Crime|Drama|Thriller,2002
Confessions of a Dangerous Mind (2002),144606,Confessions of a Dangerous Mind,Comedy|Crime|Drama|Romance|Thriller,2002
Emma (1996),838,Emma,Comedy|Drama|Romance,1996
Emma (1996),26958,Emma,Romance,1996
Eros (2004),32600,Eros,Drama,2004
Eros (2004),147002,Eros,Drama|Romance,2004
Saturn 3 (1980),2851,Saturn 3,Adventure|Sci-Fi|Thriller,1980
Saturn 3 (1980),168358,Saturn 3,Sci-Fi|Thriller,1980
War of the Worlds (2005),34048,War of the Worlds,Action|Adventure|Sci-Fi|Thriller,2005
War of the Worlds (2005),64997,War of the Worlds,Action|Sci-Fi,2005
